label,cluster_id,size,share
109,109,1057,0.011344731729830098
110,110,42,0.00045078404224490454
111,111,76,0.0008157044573955416
112,112,113,0.001212823732706529
113,113,53,0.0005688465294995224
114,114,49,0.0005259147159523886
115,115,255,0.0027369031136297776
116,116,44,0.0004722499490184714
117,117,33,0.00035418746176385356
118,118,77,0.000826437410782325
119,119,35,0.00037565336853742046
120,120,75,0.000804971504008758
121,121,93,0.00099816466497086
122,122,580,0.006225112964334396
123,123,37,0.0003971192753109873
124,124,31,0.00033272155499028665
125,125,101,0.0010840282920651276
126,126,120,0.001287954406414013
127,127,87,0.0009337669446501594
128,128,36,0.0003863863219242039
129,129,35,0.00037565336853742046
130,130,197,0.002114391817196338
131,131,44,0.0004722499490184714
132,132,89,0.0009552328514237263
133,133,31,0.00033272155499028665
134,134,356,0.0038209314056949053
135,135,30,0.00032198860160350323
136,136,38,0.0004078522286977708
137,137,342,0.003670670058279937
138,138,57,0.0006117783430466562
139,139,1521,0.016324822101297615
140,140,40,0.00042931813547133764
141,141,209,0.0022431872578377392
142,142,61,0.0006547101565937899
143,143,261,0.002801300833950478
144,144,333,0.003574073477798886
145,145,305,0.0032735507829689497
146,146,654,0.00701935151495637
147,147,38,0.0004078522286977708
148,148,74,0.0007942385506219746
149,149,40,0.00042931813547133764
150,150,111,0.0011913578259329619
151,151,129,0.001384550986895064
152,152,50,0.0005366476693391721
153,153,59,0.000633244249820223
154,154,50,0.0005366476693391721
155,155,128,0.0013738180335082805
156,156,1967,0.02111171931180303
157,157,324,0.003477476897317835
158,158,37,0.0003971192753109873
159,159,101,0.0010840282920651276
160,160,33,0.00035418746176385356
161,161,31,0.00033272155499028665
162,162,46,0.0004937158557920383
163,163,183,0.0019641304697813698
164,164,40,0.00042931813547133764
165,165,96,0.0010303635251312103
166,166,30,0.00032198860160350323
167,167,340,0.00364920415150637
168,168,181,0.001942664563007803
169,169,155,0.0016636077749514334
170,170,49,0.0005259147159523886
171,171,169,0.0018138691223664016
172,172,133,0.0014274828004421976
173,173,254,0.002726170160242994
174,174,72,0.0007727726438484078
175,175,89,0.0009552328514237263
176,176,189,0.0020285281901020703
177,177,47,0.0005044488091788217
178,178,84,0.0009015680844898091
179,179,113,0.001212823732706529
180,180,70,0.0007513067370748409
181,181,373,0.004003391613270224
182,182,51,0.0005473806227259555
183,183,112,0.0012020907793197455
184,184,1044,0.011205203335801913
185,185,332,0.0035633405244121026
186,186,110,0.0011806248725461784
187,187,70,0.0007513067370748409
188,188,30,0.00032198860160350323
189,189,864,0.009273271726180893
190,190,273,0.0029300962745918793
191,191,76,0.0008157044573955416
192,192,69,0.0007405737836880575
193,193,263,0.002822766740724045
194,194,46,0.0004937158557920383
195,195,352,0.003777999592147771
196,196,48,0.0005151817625656051
197,197,369,0.00396045979972309
198,198,410,0.004400510888581211
199,199,55,0.0005903124362730892
200,200,157,0.0016850736817250003
201,201,214,0.0022968520247716563
202,202,329,0.0035311416642517524
