cluster_id,size,share,median_probability,mean_outlier_score,intra_cluster_cosine,representative_customer_message_ids
82,46,0.0004937158557920383,1.0,0.11354277054256989,0.5496065616607666,238117;238106;802344;1891482;238089;238098;282164;1579655
83,89,0.0009552328514237263,0.917963568791723,0.07844466767851868,0.42362895607948303,352758;1042211;333587;1699053;1566752;972770;982343;1993262
84,40,0.00042931813547133764,1.0,0.027272383466189577,0.510987401008606,1509859;278672;1780041;277116;234209;2917155;1421911;1092357
85,175,0.0018782668426871021,1.0,0.33387886361501273,0.7612752914428711,2663758;1041674;233503;419621;20032;422754;1727216;499892
86,33,0.00035418746176385356,1.0,0.0013772100479677203,0.6704740524291992,2055060;2460808;1293016;783427;2819168;980035;2153009;1313010
87,34,0.000364920415150637,1.0,0.026527938070833004,0.8544760942459106,2536455;1370134;1740737;418776;2278931;1223032;1872070;1424887
88,32,0.00034345450837707013,1.0,0.00029897932185890313,0.5816061496734619,322598;1085067;1129348;1081770;979620;857753;422231;567584
89,319,0.0034238121303839177,0.543780073705001,0.39767378417283616,0.5037041306495667,1049142;2083450;19194;1645634;444289;1243812;1489144;2473474
90,34,0.000364920415150637,1.0,0.007261732139128107,0.4896501302719116,2915882;65833;1091292;2469375;2915873;2915888;2241036;163527
91,55,0.0005903124362730892,1.0,0.0498581683023879,0.7334117293357849,312098;1428267;2236311;1300544;2459203;2298476;347785;256640
92,101,0.0010840282920651276,0.8909137409238701,0.15134066099596746,0.7026552557945251,75888;1955350;1805081;487781;470819;2840169;1267609;2308928
93,32,0.00034345450837707013,1.0,0.0015505978582537844,0.9117026925086975,1830683;1626620;29500;665389;562896;2585553;1661490;641652
94,130,0.0013952839402818474,0.720508420400779,0.25307580383040884,0.4245894253253937,522433;402238;709464;2914467;183719;522447;1223290;830160
95,32,0.00034345450837707013,1.0,0.001814981954756717,0.5537750720977783,954290;205939;183601;2956994;2929603;1156744;1023619;332022
96,46,0.0004937158557920383,1.0,0.05589242561877633,0.5847744941711426,103848;276491;2595439;676110;812122;825509;158791;1143545
97,42,0.00045078404224490454,1.0,0.023173725397997773,0.6309587359428406,111868;238133;133595;2298800;486649;2335065;1637202;2624130
98,37,0.0003971192753109873,1.0,0.0096138735429034,0.5674417614936829,158683;1447166;1070058;1418568;2452524;1757982;412302;2177986
99,41,0.0004400510888581211,1.0,0.06253761796547191,0.5739831328392029,111782;2303338;162007;2575232;2332361;1096778;1434018;2679496
100,66,0.0007083749235277071,0.981254592476206,0.058390483740162875,0.5251811146736145,505748;2031125;1844488;354022;2314524;69269;868650;1766847
101,213,0.002286119071384873,0.5618654987554795,0.38391364464758154,0.45471933484077454,1223090;2698909;2496339;2153019;1529902;1159327;519749;2565547
102,542,0.005817260735636625,0.9605703365073126,0.3461836099094727,0.37268415093421936,1031076;423231;562861;1675303;1641400;1229688;575928;1428956
103,229,0.002457846325573408,0.9862878992335616,0.242315335708144,0.365756094455719,1157231;2529294;2662725;2107252;317479;2451649;2401460;2570098
104,64,0.0006869090167541403,0.980520195660695,0.0407226736377783,0.45360055565834045,382574;191524;56900;2346293;740447;487820;2636923;107330
105,164,0.0017602043554324845,0.7414127952755292,0.24176967865609816,0.393277645111084,473316;99802;789052;1616062;1178059;2928928;789278;2298720
106,58,0.0006225112964334396,1.0,0.0690606574273835,0.5473881363868713,2241065;413993;444395;445448;2475933;877637;2475932;1314574
107,193,0.002071460003649204,0.5798919138563134,0.3542055435628737,0.6388435363769531,1488817;1800789;198014;2632964;19441;1005136;726955;1724711
108,107,0.0011484260123858282,0.6513254852596231,0.3817469451624458,0.5679755806922913,2265526;786146;1262613;1266332;19452;1261891;390802;2934427
109,1057,0.011344731729830098,1.0,0.45455946479855797,0.3316683769226074,2954390;2852187;1669858;1135884;1405316;1547876;126846;2474754
110,42,0.00045078404224490454,1.0,0.025654110803378576,0.7200101613998413,2481440;2537425;2905073;517602;1032339;1457239;2562179;2345643
111,76,0.0008157044573955416,0.8840582557762665,0.09911815331448848,0.7531054615974426,1615516;683066;1953354;1691918;844211;2602881;2882675;1247149
112,113,0.001212823732706529,1.0,0.14499509749164985,0.8182564377784729,312140;2695686;1461517;207627;1699077;436425;1662292;1844492
